fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_SLpM,fighter_Str. Acc.,fighter_SApM,fighter_Str. Def,fighter_TD Avg.,fighter_TD Acc.,fighter_TD Def.,fighter_Sub. Avg.,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
Shaheen,Santana,Shazam,185.42,155,190.5,Orthodox,1991-06-04,0.82,42%,1.65,40%,0.00,0%,0%,2.8,6,1,0,NULL,http://ufcstats.com/fighter-details/19809d475ed832d5
Sean,Santella,Shorty Rock,165.1,125,NULL,,1984-10-25,0.00,0%,0.00,0%,0.00,0%,0%,0.0,17,6,1,1,http://ufcstats.com/fighter-details/39792c2f42c9f527
Jorge,Santiago,The Sandman,185.42,170,190.5,Orthodox,1980-10-09,1.69,35%,2.62,56%,0.58,30%,52%,0.8,25,12,0,NULL,http://ufcstats.com/fighter-details/f8dc544e7077d014
Mike,Santiago,NULL,177.8,145,175.26,Orthodox,1989-07-28,3.44,49%,3.58,36%,2.66,50%,53%,1.1,19,12,0,NULL,http://ufcstats.com/fighter-details/bc656db347f31e19
Will,Santiago,The Brown Bomber,170.18,185,NULL,Orthodox,1983-02-08,1.47,39%,5.53,56%,1.00,50%,100%,0.0,9,5,0,NULL,http://ufcstats.com/fighter-details/4920292f5d9b76df
Richie,Santiago,The Milford Mauler,170.18,135,170.18,Southpaw,1992-10-10,3.87,49%,4.87,42%,0.00,0%,25%,0.0,7,2,0,NULL,http://ufcstats.com/fighter-details/9f95d6b5b459cc6b
Jose,Santibanez,NULL,NULL,155,NULL,,1980-01-18,0.00,0%,0.00,0%,0.00,0%,0%,0.0,10,3,0,NULL,http://ufcstats.com/fighter-details/8299206ccebc44a7
Art,Santore,Pachuco,187.96,185,NULL,,1972-10-26,1.40,12%,7.31,52%,0.00,0%,100%,0.0,18,8,0,NULL,http://ufcstats.com/fighter-details/012fc7cd0779c09a
Adriano,Santos,NULL,NULL,NULL,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,1,0,NULL,http://ufcstats.com/fighter-details/c6e6926a81adcd00
Paulo,Santos,NULL,NULL,NULL,NULL,,NULL,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,3,0,NULL,http://ufcstats.com/fighter-details/7ca4c3f8aa8bacae
Evangelista,Santos,Cyborg,177.8,170,193.04,Orthodox,1977-12-12,3.94,36%,6.01,49%,0.78,100%,50%,0.4,21,18,0,NULL,http://ufcstats.com/fighter-details/99bf06f20491cb54
Luis,Santos,NULL,185.42,170,NULL,Southpaw,NULL,4.40,57%,4.00,64%,0.00,0%,0%,0.0,63,10,1,1,http://ufcstats.com/fighter-details/7701377be464d2ef
Iliarde,Santos,NULL,165.1,125,170.18,Orthodox,1980-09-25,3.00,30%,6.10,57%,1.66,23%,83%,0.0,30,13,1,1,http://ufcstats.com/fighter-details/14aa21bc82cac57d
Leonardo,Santos,NULL,182.88,155,190.5,Orthodox,1980-02-05,2.82,46%,3.40,54%,0.88,25%,86%,0.2,18,7,1,NULL,http://ufcstats.com/fighter-details/9c65736747ca92ec
Thiago,Santos,Marreta,187.96,205,193.04,Orthodox,1984-01-07,3.72,48%,2.57,53%,0.88,33%,65%,0.1,22,11,0,NULL,http://ufcstats.com/fighter-details/dea070ed4a2a8281
Bruno,Santos,Carioca,175.26,185,NULL,Orthodox,1987-07-17,1.18,46%,2.27,56%,3.00,37%,66%,0.3,15,2,0,NULL,http://ufcstats.com/fighter-details/da1d8d76404bb6b5
Andre,Santos,Chatuba,182.88,170,NULL,,NULL,2.77,34%,4.17,41%,2.50,29%,75%,0.0,38,10,0,NULL,http://ufcstats.com/fighter-details/5b5b78116d1fc3eb
Gleristone,Santos,Toninho Furia,175.26,145,NULL,,1988-08-20,3.40,31%,4.40,64%,0.00,0%,75%,0.0,33,7,0,NULL,http://ufcstats.com/fighter-details/d12ee718fb35c35c
Yana,Santos,NULL,167.64000000000001,135,172.72,Orthodox,1989-11-11,4.42,58%,3.12,50%,0.97,53%,42%,0.1,15,8,0,1,http://ufcstats.com/fighter-details/3143bf892608139a
