id,f_1_odd,f_2_odd,fight_round,event_city,event_state,f_1_gender,f_2_gender,f_1_weight_class,f_2_weight_class,f_1_fighter_stance,f_2_fighter_stance,f_1_prev_result,f_2_prev_result,age_diff,height_diff,weight_diff,win_ratio_diff,prev_win_streak_continuous_diff,prev_loss_streak_continuous_diff,avg_total_strike_succ_ratio_diff,avg_sig_strikes_succ_ratio_diff,avg_submission_ratio_diff,avg_reversal_ratio_diff,avg_head_strikes_succ_ratio_diff,avg_body_strikes_succ_ratio_diff,avg_leg_strikes_succ_ratio_diff,avg_distance_strikes_succ_ratio_diff,avg_clinch_strikes_succ_ratio_diff,avg_ground_strikes_succ_ratio_diff,label
578,,,3,Las Vegas,Nevada,M,M,Welterweight,Welterweight,Orthodox,Orthodox,,,-4.84,5.0800000000000125,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
579,,,3,Las Vegas,Nevada,M,M,Welterweight,Welterweight,Orthodox,Orthodox,,,4.629999999999999,-5.0800000000000125,-15.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
580,,,3,Las Vegas,Nevada,M,M,Lightweight,Lightweight,Orthodox,Orthodox,KO/TKO,Decision,-1.4499999999999993,5.079999999999984,0.0,0.5,4,-1,0.0031746360309440336,0.07420095117494019,-1.0,0.6,0.09426819387527607,0.02373321123321115,-0.1282051282051282,0.0004522472038784586,-0.21595528455284552,-0.04475130382263892,1
581,,,3,Las Vegas,Nevada,M,M,Lightweight,Lightweight,Orthodox,Orthodox,KO/TKO,KO/TKO,-1.0399999999999991,-2.539999999999992,0.0,0.0,0,1,-0.2441860465116279,-0.23426212590299278,0.0,0.0,-0.12125435540069684,-0.8,-0.8,-0.053475935828877,-0.8333333333333334,-0.4,1
582,,,3,Las Vegas,Nevada,M,M,Welterweight,Welterweight,Orthodox,Southpaw,Submission,KO/TKO,-3.860000000000003,-2.539999999999992,0.0,-0.09999999999999998,0,1,-0.019976133859433642,0.06222222222222218,1.9,0.0,-0.014893617021276562,0.13333333333333341,0.0,0.2916666666666667,-0.022222222222222254,-0.3562271062271062,1
583,,,3,Las Vegas,Nevada,M,M,Middleweight,Middleweight,Orthodox,Southpaw,Decision,KO/TKO,0.629999999999999,15.23999999999998,0.0,0.6666666666666666,0,1,0.13456659619450317,-0.0369357045143639,1.3333333333333333,0.3333333333333333,0.4043560606060606,0.6666666666666666,-0.21590909090909083,-0.05625000000000002,0.16666666666666666,0.9,1
584,,,3,Las Vegas,Nevada,M,M,Lightweight,Lightweight,Orthodox,Orthodox,Submission,Decision,1.8200000000000003,-10.159999999999997,-20.0,-0.5,-1,0,0.0379036990290188,0.008671773377655734,1.0,0.0,-0.024418604651162745,-0.75,0.5,-0.017690875232774683,1.1102230246251565e-16,0.0,1
585,,,3,Las Vegas,Nevada,M,M,Light Heavyweight,Light Heavyweight,Orthodox,Southpaw,KO/TKO,,2.620000000000001,0.0,20.0,0.4,0,1,0.7206349206349206,0.6880952380952381,0.2,0.0,0.49047619047619045,0.9166666666666666,0.9294117647058824,0.5696296296296296,0.8333333333333334,0.875,1
586,,,3,Las Vegas,Nevada,M,M,Lightweight,Lightweight,Southpaw,Orthodox,Submission,Submission,7.0,0.0,0.0,-0.19999999999999996,1,0,0.21841906709346826,0.05709549845579254,0.39999999999999997,0.2,-0.008793717121858224,0.04841269841269846,-0.009487179487179476,0.021129908103592332,0.19861111111111113,0.3918650793650794,1
587,,,3,Las Vegas,Nevada,M,M,Light Heavyweight,Light Heavyweight,Southpaw,Orthodox,Decision,,5.890000000000001,7.619999999999976,-20.0,1.0,3,0,0.7631392951086046,0.7008382565045387,0.6666666666666666,0.3333333333333333,0.6036726194232347,0.8672839506172839,0.8703703703703703,0.6888126548503907,0.7955026455026455,0.6478687739463601,1
588,,,3,Las Vegas,Nevada,M,M,Heavyweight,Heavyweight,Orthodox,Orthodox,KO/TKO,,-5.309999999999999,-5.079999999999984,-35.0,0.6666666666666666,1,0,0.44592198581560283,0.34368598185542876,0.0,0.3333333333333333,0.32607132585562265,0.75,0.5,0.17813813813813814,0.7936507936507936,0.6656976744186047,1
589,,,3,Las Vegas,Nevada,M,M,Light Heavyweight,Light Heavyweight,Orthodox,Orthodox,Decision,Decision,6.550000000000001,7.6200000000000045,0.0,0.456140350877193,0,2,-0.25360397675496843,-0.11911062290321595,0.0,0.10526315789473684,-0.12950853470832213,-0.30059523809523814,0.25091475984333134,0.0918906193066053,-0.042039856695029076,-0.24022627496572901,1
590,,,5,Las Vegas,Nevada,M,M,Welterweight,Welterweight,Orthodox,Switch,Decision,Decision,-7.599999999999998,5.0800000000000125,15.0,-0.033333333333333326,0,-1,-0.044059263816952576,-0.04374600910909576,0.2666666666666667,0.07777777777777778,-0.003377260550331551,-0.045179738562091454,-0.21846564712841654,0.18200647884930743,-0.07328042328042328,0.005796967944800224,1
591,,,3,Newcastle,England,M,M,Light Heavyweight,Light Heavyweight,Orthodox,Southpaw,KO/TKO,,-7.950000000000003,2.539999999999992,-20.0,0.4,0,1,0.4621579779427974,0.3650758182552559,0.0,0.0,0.3562387697553938,0.7777777777777777,1.0,0.3475757575757576,0.6711111111111111,0.46078431372549017,1
592,,,3,Newcastle,England,M,M,Welterweight,Welterweight,Orthodox,Orthodox,,Submission,-4.75,-7.6200000000000045,0.0,-0.5,0,0,-0.5170731707317073,-0.4636363636363636,0.0,-0.5,-0.3837908496732026,-0.9285714285714286,-0.7017543859649122,-0.39398907103825137,-0.775,-0.46818181818181814,1
593,,,3,Newcastle,England,M,M,Heavyweight,Heavyweight,Orthodox,Orthodox,Submission,KO/TKO,-7.190000000000001,0.0,2.0,0.3333333333333333,0,2,-0.1536765410794746,-0.0834920634920635,-1.6666666666666667,0.0,-0.20370370370370366,-0.10909090909090902,1.0,0.5694444444444444,-0.11733716475095779,-0.625,1
594,,,3,Newcastle,England,M,M,Middleweight,Middleweight,Orthodox,Orthodox,KO/TKO,KO/TKO,10.720000000000002,-12.700000000000017,0.0,-0.32142857142857145,0,1,-0.07741828368932435,-0.000979889032180159,-2.25,-0.6071428571428572,0.0045221445221445555,-0.17217508798391146,0.11787878787878792,0.054963860544217646,-0.11068040091028597,0.06752969252969243,1
595,,,3,Newcastle,England,M,M,Light Heavyweight,Light Heavyweight,Orthodox,Orthodox,Submission,KO/TKO,-3.3299999999999983,-5.0800000000000125,0.0,-0.050000000000000044,2,-1,-0.11115370121551582,-0.1179767592966775,-0.25,0.0,-0.12275031453783986,-0.19666666666666666,-0.1716954022988506,0.10850991114149006,-0.40418470418470415,0.19380952380952376,1
596,,,3,Newcastle,England,M,M,Heavyweight,Heavyweight,Orthodox,Orthodox,Decision,KO/TKO,1.7999999999999972,5.079999999999984,-11.0,-0.8,0,1,-0.25914736917977466,-0.11444116143200811,-1.2,0.0,-0.1278814229249012,0.0,0.045454545454545414,-0.03328041067979148,0.061111111111111116,-0.5465225563909775,1
